Wavelength (nm), Intensity
3.332110247027226819e+02,1.182000000000000000e+03
3.334774994825231715e+02,1.173000000000000000e+03
3.337439646010725482e+02,1.214000000000000000e+03
3.340104200583446072e+02,1.162000000000000000e+03
3.342768658543134848e+02,1.161000000000000000e+03
3.345433019889528623e+02,1.160000000000000000e+03
3.348097284622367624e+02,1.175000000000000000e+03
3.350761452741392077e+02,1.154000000000000000e+03
3.353425524246339933e+02,1.174000000000000000e+03
3.356089499136950280e+02,1.152000000000000000e+03
3.358753377412962777e+02,1.191000000000000000e+03
3.361417159074117649e+02,1.148000000000000000e+03
3.364080844120151710e+02,1.194000000000000000e+03
3.366744432550806323e+02,1.165000000000000000e+03
3.369407924365818872e+02,1.166000000000000000e+03
3.372071319564931287e+02,1.166000000000000000e+03
3.374734618147879246e+02,1.174000000000000000e+03
3.377397820114404681e+02,1.135000000000000000e+03
3.380060925464246111e+02,1.171000000000000000e+03
3.382723934197141489e+02,1.161000000000000000e+03
3.385386846312832176e+02,1.182000000000000000e+03
3.388049661811054989e+02,1.159000000000000000e+03
3.390712380691550720e+02,1.179000000000000000e+03
3.393375002954059028e+02,1.148000000000000000e+03
3.396037528598317294e+02,1.190000000000000000e+03
3.398699957624066315e+02,1.192000000000000000e+03
3.401362290031043472e+02,1.178000000000000000e+03
3.404024525818990696e+02,1.154000000000000000e+03
3.406686664987644804e+02,1.142000000000000000e+03
3.409348707536746588e+02,1.149000000000000000e+03
3.412010653466033432e+02,1.174000000000000000e+03
3.414672502775246130e+02,1.164000000000000000e+03
3.417334255464123771e+02,1.164000000000000000e+03
3.419995911532404875e+02,1.172000000000000000e+03
3.422657470979829100e+02,1.200000000000000000e+03
3.425318933806134396e+02,1.153000000000000000e+03
3.427980300011063264e+02,1.170000000000000000e+03
3.430641569594350813e+02,1.172000000000000000e+03
3.433302742555737836e+02,1.195000000000000000e+03
3.435963818894965129e+02,1.129000000000000000e+03
3.438624798611770075e+02,1.174000000000000000e+03
3.441285681705892330e+02,1.171000000000000000e+03
3.443946468177070983e+02,1.182000000000000000e+03
3.446607158025046260e+02,1.141000000000000000e+03
3.449267751249554976e+02,1.184000000000000000e+03
3.451928247850339631e+02,1.175000000000000000e+03
3.454588647827135901e+02,1.158000000000000000e+03
3.457248951179685719e+02,1.145000000000000000e+03
3.459909157907727035e+02,1.158000000000000000e+03
3.462569268010999508e+02,1.167000000000000000e+03
3.465229281489242226e+02,1.176000000000000000e+03
3.467889198342193708e+02,1.147000000000000000e+03
3.470549018569594182e+02,1.176000000000000000e+03
3.473208742171182166e+02,1.180000000000000000e+03
3.475868369146697887e+02,1.193000000000000000e+03
3.478527899495878728e+02,1.173000000000000000e+03
3.481187333218465483e+02,1.175000000000000000e+03
